,State,Date,Total,lag_1,lag_7,lag_30,month,week,quarter,year,is_holiday
86,Alabama,2019-10-06,129106730.0,,,,10,40,4,2019,0
3397,Alabama,2019-10-13,123782286.0,129106730.0,,,10,41,4,2019,0
5246,Alabama,2019-10-20,116218909.0,123782286.0,,,10,42,4,2019,0
7095,Alabama,2019-10-27,109968011.0,116218909.0,,,10,43,4,2019,0
43,Alabama,2019-11-03,112189104.0,109968011.0,,,11,44,4,2019,0
172,Alabama,2019-11-10,110932913.0,112189104.0,,,11,45,4,2019,0
4472,Alabama,2019-11-17,109056410.0,110932913.0,,,11,46,4,2019,0
6321,Alabama,2019-11-24,113040422.0,109056410.0,129106730.0,,11,47,4,2019,0
0,Alabama,2019-12-01,109574036.0,113040422.0,123782286.0,,12,48,4,2019,0
129,Alabama,2019-12-08,108083724.0,109574036.0,116218909.0,,12,49,4,2019,0
3956,Alabama,2019-12-15,108528456.0,108083724.0,109968011.0,,12,50,4,2019,0
5805,Alabama,2019-12-22,116541575.0,108528456.0,112189104.0,,12,51,4,2019,0
7654,Alabama,2019-12-29,106949922.0,116541575.0,110932913.0,,12,52,4,2019,0
473,Alabama,2020-01-05,104239954.0,106949922.0,109056410.0,,1,1,1,2020,0
989,Alabama,2020-01-12,108717628.0,104239954.0,113040422.0,,1,2,1,2020,0
4730,Alabama,2020-01-19,105904866.0,108717628.0,109574036.0,,1,3,1,2020,0
6579,Alabama,2020-01-26,106265737.0,105904866.0,108083724.0,,1,4,1,2020,0
301,Alabama,2020-02-02,108358280.0,106265737.0,108528456.0,,2,5,1,2020,0
817,Alabama,2020-02-09,109022482.0,108358280.0,116541575.0,,2,6,1,2020,0
4042,Alabama,2020-02-16,107397612.0,109022482.0,106949922.0,,2,7,1,2020,0
5891,Alabama,2020-02-23,107801054.0,107397612.0,104239954.0,,2,8,1,2020,0
215,Alabama,2020-03-01,116651493.0,107801054.0,108717628.0,,3,9,1,2020,0
731,Alabama,2020-03-08,119441834.0,116651493.0,105904866.0,,3,10,1,2020,0
3784,Alabama,2020-03-15,132632134.0,119441834.0,106265737.0,,3,11,1,2020,0
5633,Alabama,2020-03-22,127145065.0,132632134.0,108358280.0,,3,12,1,2020,0
7482,Alabama,2020-03-29,116657084.0,127145065.0,109022482.0,,3,13,1,2020,0
516,Alabama,2020-04-05,123259529.0,116657084.0,107397612.0,,4,14,2,2020,0
1032,Alabama,2020-04-12,117506179.0,123259529.0,107801054.0,,4,15,2,2020,0
4859,Alabama,2020-04-19,117742073.0,117506179.0,116651493.0,,4,16,2,2020,0
6708,Alabama,2020-04-26,118114595.0,117742073.0,119441834.0,,4,17,2,2020,0
387,Alabama,2020-05-03,128066131.0,118114595.0,132632134.0,129106730.0,5,18,2,2020,0
903,Alabama,2020-05-10,127906087.0,128066131.0,127145065.0,123782286.0,5,19,2,2020,0
4343,Alabama,2020-05-17,130340051.0,127906087.0,116657084.0,116218909.0,5,20,2,2020,0
6192,Alabama,2020-05-24,134708619.0,130340051.0,123259529.0,109968011.0,5,21,2,2020,0
7955,Alabama,2020-05-31,129887877.0,134708619.0,117506179.0,112189104.0,5,22,2,2020,0
688,Alabama,2020-06-07,132304541.0,129887877.0,117742073.0,110932913.0,6,23,2,2020,0
3612,Alabama,2020-06-14,131401893.0,132304541.0,118114595.0,109056410.0,6,24,2,2020,0
5461,Alabama,2020-06-21,133712552.0,131401893.0,128066131.0,113040422.0,6,25,2,2020,0
7310,Alabama,2020-06-28,132320128.0,133712552.0,127906087.0,109574036.0,6,26,2,2020,0
559,Alabama,2020-07-05,138414683.0,132320128.0,130340051.0,108083724.0,7,27,3,2020,0
1075,Alabama,2020-07-12,129799793.0,138414683.0,134708619.0,108528456.0,7,28,3,2020,0
4945,Alabama,2020-07-19,133548791.0,129799793.0,129887877.0,116541575.0,7,29,3,2020,0
6794,Alabama,2020-07-26,132657649.0,133548791.0,132304541.0,106949922.0,7,30,3,2020,0
344,Alabama,2020-08-02,131945461.0,132657649.0,131401893.0,104239954.0,8,31,3,2020,0
860,Alabama,2020-08-09,137744835.0,131945461.0,133712552.0,108717628.0,8,32,3,2020,0
4171,Alabama,2020-08-16,137880677.0,137744835.0,132320128.0,105904866.0,8,33,3,2020,0
6020,Alabama,2020-08-23,131642695.0,137880677.0,138414683.0,106265737.0,8,34,3,2020,0
7826,Alabama,2020-08-30,128713002.0,131642695.0,129799793.0,108358280.0,8,35,3,2020,0
602,Alabama,2020-09-06,137905687.0,128713002.0,133548791.0,109022482.0,9,36,3,2020,0
3354,Alabama,2020-09-13,134469488.0,137905687.0,132657649.0,107397612.0,9,37,3,2020,0
5203,Alabama,2020-09-20,129079260.0,134469488.0,131945461.0,107801054.0,9,38,3,2020,0
7052,Alabama,2020-09-27,127614100.0,129079260.0,137744835.0,116651493.0,9,39,3,2020,0
430,Alabama,2020-10-04,133713630.0,127614100.0,137880677.0,119441834.0,10,40,4,2020,0
946,Alabama,2020-10-11,128170886.0,133713630.0,131642695.0,132632134.0,10,41,4,2020,0
4644,Alabama,2020-10-18,122464550.0,128170886.0,128713002.0,127145065.0,10,42,4,2020,0
6493,Alabama,2020-10-25,121301025.0,122464550.0,137905687.0,116657084.0,10,43,4,2020,0
258,Alabama,2020-11-01,120522114.0,121301025.0,134469488.0,123259529.0,11,44,4,2020,0
774,Alabama,2020-11-08,120902500.0,120522114.0,129079260.0,117506179.0,11,45,4,2020,0
3913,Alabama,2020-11-15,117987142.0,120902500.0,127614100.0,117742073.0,11,46,4,2020,0
5762,Alabama,2020-11-22,124645965.0,117987142.0,133713630.0,118114595.0,11,47,4,2020,0
7611,Alabama,2020-11-29,118491656.0,124645965.0,128170886.0,128066131.0,11,48,4,2020,0
645,Alabama,2020-12-06,116104621.0,118491656.0,122464550.0,127906087.0,12,49,4,2020,0
3483,Alabama,2020-12-13,116502691.0,116104621.0,121301025.0,130340051.0,12,50,4,2020,0
5332,Alabama,2020-12-20,122244236.0,116502691.0,120522114.0,134708619.0,12,51,4,2020,0
7181,Alabama,2020-12-27,115522663.0,122244236.0,120902500.0,129887877.0,12,52,4,2020,0
1204,Alabama,2021-01-03,115331048.0,115522663.0,117987142.0,132304541.0,1,53,1,2021,0
1720,Alabama,2021-01-10,117780959.0,115331048.0,124645965.0,131401893.0,1,1,1,2021,0
